"filename", "language", "YAML", "Django HTML", "Groovy", "JSON", "Markdown", "Dart", "Properties", "XML", "C++", "Swift", "kotlin", "comment", "blank", "total"
"/Users/ricked-corp/Documents/Projects/ShishaOase/lib/models/user.dart", "Dart", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 4, 17
"/Users/ricked-corp/Documents/Projects/ShishaOase/lib/services/app_service.dart", "Dart", 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 15, 71
"/Users/ricked-corp/Documents/Projects/ShishaOase/lib/services/authentication_service.dart", "Dart", 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 7, 54
"/Users/ricked-corp/Documents/Projects/ShishaOase/lib/services/firestorage_service.dart", "Dart", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 5, 22
"/Users/ricked-corp/Documents/Projects/ShishaOase/lib/services/firestore_service.dart", "Dart", 0, 0, 0, 0, 0, 78, 0, 0, 0, 0, 0, 0, 11, 89
"/Users/ricked-corp/Documents/Projects/ShishaOase/lib/services/imagepicker_service.dart", "Dart", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 2, 13
"/Users/ricked-corp/Documents/Projects/ShishaOase/lib/services/navigation_service.dart", "Dart", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 5, 22
"/Users/ricked-corp/Documents/Projects/ShishaOase/lib/ui/views/addDrink/addDrink_view.dart", "Dart", 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 3, 73
"/Users/ricked-corp/Documents/Projects/ShishaOase/lib/ui/views/addDrink/addDrink_viewmodel.dart", "Dart", 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 9, 46
"/Users/ricked-corp/Documents/Projects/ShishaOase/lib/ui/views/addTabacoo/addTabacco_view.dart", "Dart", 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 3, 73
"/Users/ricked-corp/Documents/Projects/ShishaOase/lib/ui/views/addTabacoo/addTabacco_viewmodel.dart", "Dart", 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 9, 46
"/Users/ricked-corp/Documents/Projects/ShishaOase/lib/ui/views/drinklist/drink_view.dart", "Dart", 0, 0, 0, 0, 0, 102, 0, 0, 0, 0, 0, 1, 5, 108
"/Users/ricked-corp/Documents/Projects/ShishaOase/lib/ui/views/drinklist/drink_viewmodel.dart", "Dart", 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 8, 49
"/Users/ricked-corp/Documents/Projects/ShishaOase/lib/ui/views/home/home_view.dart", "Dart", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 1, 3, 35
"/Users/ricked-corp/Documents/Projects/ShishaOase/lib/ui/views/home/home_viewmodel.dart", "Dart", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 13, 9, 49
"/Users/ricked-corp/Documents/Projects/ShishaOase/lib/ui/views/logIn/login_view.dart", "Dart", 0, 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 0, 3, 79
"/Users/ricked-corp/Documents/Projects/ShishaOase/lib/ui/views/logIn/login_viewmodel.dart", "Dart", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 6, 36
"/Users/ricked-corp/Documents/Projects/ShishaOase/lib/ui/views/main/main_view.dart", "Dart", 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 3, 73
"/Users/ricked-corp/Documents/Projects/ShishaOase/lib/ui/views/main/main_viewmodel.dart", "Dart", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 3, 17
